"built_work_site_foreign_key","site_data","building_name_pinyin","building_name2_traditional","building_name3_simplified","work_building_identifier","building_name_in_site","building_in_site2_traditional","building_in_site3_simplified","group_batch","number_in_group","number_in_architecture_category_3","building_data","site_name_en","building_name_en","alternate_site_name_pinyin","alternate_site_name_traditional","alternate_site_name_simplified","alternate_building_name_pinyin","building_date","building_start","building_end","decimal_latitude","decimal_longitude","verbatim_latitude","verbatim_longitude","comments_and_field_notes","most_recent_doc","notes","ct_angled_bracket_arm","corner_angled_bracket_arm","ic_angled_bracket_arm","ic_match_ct","number_of_ic_in_central_bay","pupaifang","first_step_touxin","first_step_jixin","cejiao","pizhu_xiaang","qinmian_xiaang","qinmian-pizhu_xiaang","number_of_xiaang","ang-shaped_shuatou","beveled_linggong","chamfered_linggong"
"000035",,"zhengdian","正殿","正殿","000176","Guanghuasi_zhengidan","廣華寺正殿","广华寺",,,,,,"main hall",,,,"Guanghuasi","1125-1234","1125","1234",37.36166667,112.4942,,,,,,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1
"000036",,"zhengdian","正殿","正殿","000177","Guangrenwangmiao_zhengdian","廣仁王廟正殿","广仁王庙正殿",5,248,54,," ","main hall",,"Wulongmiao",,,831,"0831","0831",34.73344722,110.677217,"34˚ 44’ 00.41"" N (google earth)","110˚ 40' 37.98"" E","identified with Cui Jinze photo",1997,,0,0,0,0,0,0,1,0," ",0,0,0,0,0,0,1
"000037",,"xiandian","獻殿","献殿","000178","Hancheng_Fawangmiao_xiandian","韓城法王廟獻殿","韩城法王庙献殿",6,779,482,,,"offering hall",,,,"Fawangmiao","1234-1368","1234","1368",,,,,"Complex founded in 1022, Yuan-style back offering hall; see: http://www.hancheng.gov.cn/hcly/view.aspx?id=6302; http://www.baike.com/wiki/%E6%B3%95%E7%8E%8B%E5%BA%99","n/a?",,,,,,,,,,,,,,,,,
"000038",,"zhengdian","洪福寺正殿","洪福寺正殿","000179","Hongfusi_Zhengdian","洪福寺正殿","洪福寺正殿",5,251,57,,,"main hall",,,,"Zhengdian","1096-1125","1096","1125",38.62949167,113.0524611,"38°37'46.17""(google earth-satellite)","113°03'08.86""","stele inscription documenting repair in the Tianhui period (1123-1138) see: 中國 文物 地圖集 山西分冊，中，571",1998,,0,0,1,0,1,1,0,0,,0,0,1,1,1,1,0
"000039",,"zhengdian","正殿","正殿","000180","Hongjiyuan_zhengdian","洪濟院正殿","洪济院正殿",5,252,58,," ","main hall",,,,"Hongjiyuan","1115-1234","1115","1234",36.9830166,112.66555,"36˚ 58.981 N (Garmin)","112˚ 39.933 E",,2009,,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1
"000040",,"dadian","大殿","大殿","000181","Hualinsi_dadian","华林寺大殿","华林寺大殿",2,19,4,," ","Main Hall",,,,"Dadian",964,"0964","0964",26.103525,119.291925,"26˚ 06' 12.69"" N (google earth 9/2009)","119˚ 17' 30.93"" E ","rebuilt in new location, but has Dafoyang elements from 10th century",2004,"for date see: zgmscd 471",0,0,0,1,2,0,1,0,1,0,0,0,3,1,0,1
"000041",,"Xiasi Boqiejiaozangdian","下寺薄伽教藏殿","下寺薄伽教藏殿","000182","Huayansi_Xiasi_Boqiejiaozangdian","華嚴寺 下寺薄伽教藏殿","华严寺 下寺薄伽教藏殿",1,91,44,,,"Bhagavat Sutra Hall",,,,"Xiasi_Boqiejiaozangdian",1038,"1038","1038",40.0905166,113.288533,"40˚ 05.431' N (Garmin)","113˚ 17.312' E",1038,,,0,1,0,0,1,1,0,1,,0,0,0,0,0,0,1
"000041",,"Shangsi Daxiongbaodian","上寺大雄寶殿","上寺大雄寶殿","000183","Huayansi_Shangsi_Daxiongbaodian","華嚴寺 上寺大雄寶殿","华严寺上寺大雄寶殿",1,91,44,,,"Mahāvīra Treasure Hall",,,,"Shangsi Daxiongbaodian",1140,"1140","1140",40.09125,113.287433,"40˚ 05.475' N (Garmin)","113˚ 17.246' E",1140,2009,,0,1,1,0,1,1,0,1,,0,0,0,0,0,0,1
"000042",,"zhengdian","正殿","正殿","000184","Huilongsi_zhengdian","回龍寺正殿","回龙寺正殿",6,393,96,," ","main hall",,,," ","1115-1234","1115","1234",,,,,"Main Hall Jin; see: http://www.sxcr.gov.cn/wmsx/show.php?itemid=1100","*",,,,,,,,,,,,,,,,,
"000043",,"Sanqingdian","三清殿","三清殿","000185","Huixianguan_Sanqingdian","會仙觀三清殿","会仙观三清殿",5,254,60,," ","Hall of the Three Pure Ones",,,,"Sanqingdian","1115-1234","1115","1234",36.7518166,113.038883,"36˚ 45.109' N (Garmin)","113˚ 02.333 E","column top xiaang in central bay--seems later than Jin?",2009,,1,0,0,0,0,1,0,1,,0,1,,2,,1,0
"000044",,"zhengdian","正殿","正殿","000186","Hutumiao_zhengdian","狐突庙正殿","狐突庙正殿",6,362,65,," ","main hall",,,,"Hutumiao",,,,,,,,"really song?",1999,,,,,,,,,,,,,,,,,
"000045",,"qingong","寢宮","寝宫","000187","Jidumiao_qingong","济渎庙寝宫","济渎庙寝宫",4,107,29,," ","vestry/retiring hall",,,,"Qingong","960-1000","0960","1000",35.1095333,112.576583,"35˚ 06.572' N (Garmin)","112˚ 34.595' E","qinmian style youang",2009,,0,0,0,1,1,1,1,0,1,0," ",0,0,0,0,1
"000046",,"zhengdian","正殿","正殿","000188","Jincheng_Erxianmiao_zhengdian","晉城二仙廟正殿","晋城二仙庙正殿",4,97,19,," ","main hall",,,,"Erxianmiao","1107-1117","1107","1117",35.496,112.9725,"35˚ 29.76' N (Magellan)","112˚ 58.35' E","touxin on corner, jixin on frt facade",2004,,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0
"000047",,"houdian","後殿","后殿","000189","Jincheng_Yuhuangmiao_Houdian","晉城玉皇廟后殿","晋城玉皇庙后殿",3,113,61,,"Jincheng Temple of the Jade Emperor","back hall","Jincheng_Zezhouxian_Yuhuangmiao",,,"Houdian",1076,"1076","1076",35.54693333,112.93665,"35˚ 32' 34.51 N (google earth)","112˚ 56' 32.81"" E","back hall late 11th century, bracketing style similar to SMD",,,0,0,0,0,1,1,0,1,,,,,,,,
"000048",,"Shengmudian","聖母殿","圣母殿","000190","Jinci_Shengmudian","晋祠聖母殿","晋祠聖母殿",1,85,38,,,"Sage Mother Hall",,,,"Shengmudian","1038-1087","1038","1087",37.708727,112.434575,"37˚ 42.25' E  N (Garmin)","112˚ 26.43' E","Shengmudian 1038-1087-local and trans-local types of bracketing","2006?",,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1
"000048",,"xiandian","獻殿","献殿","000191","Jinci_Xiandian","晋祠獻殿","晋祠獻殿",1,85,38,,,"offering hall",,,,"Xiandian",1168,"1168","1168",37.7085556,112.435,"37˚ 43.99' N (Garmin)","112˚ 33.70' E","Jin 1168-local and trans-local types of bracketing","2006?",,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1
"000049",,"zhuanjiaodian","轉角殿","转角殿","000192","Jindongsi_zhuanjiaodian","金洞寺轉角殿","金洞寺转角殿",6,359,62,," ","corner hall",,,,"Jindongsi","960-1125","0960","1125",,,,,,1999,,0,0,0,0,0,1,1,0," ",1,0,0,1,1,0,1
"000050",,"Daxiongbaodian","大雄寶殿","大雄宝殿","000193","Jingtusi_Daxiongbaodian","净土寺大雄寶殿","净土寺大雄宝殿",6,398,101,," ","Mahāvīra Treasure Hall",,,,"Daxiongbaodian",1184,"1184","1184",39.5665166,113.1876,"39˚ 33.997' N (Garmin)","113˚ 11.256˚ E",,2009,,0,0,0,1,2,1,0,1,,0,1,0,1,0,0,1
"000051",,"Daxiongbaodian","大雄寶殿","大雄宝殿","000194","Jingzhuang_Dayunsi_Daxiongbaodian","荆庄大云寺大雄宝殿","荆庄大云寺大雄宝殿",5,230,36,," ","Mahāvīra Treasure Hall",,,,"Dayunsi Daxiongbaodian",,,,,,,,,"*",,,,,,,,,,,,,,,,,
"000052",,"Shengmudian","聖母殿","圣母殿","000195","Jiutian shengmumiao_Shengmudian","九天聖母廟聖母殿","九天圣母庙圣母殿",5,238,44,,"  ","Sage Mother Hall",,,," ","960-1101","0960","1102",36.22523333,113.3374167,"36 13.514' (Garmin)","113˚ 20.245'","http://baike.baidu.com/subview/139499/10834210.htm",2010,,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1
"000053",,"xiandian","獻殿","献殿","000196","Kaifusi_xiandian","开福寺獻殿","开福寺獻殿",6,371,74,," ","offering hall",,,,"Xiandian","1161-1190","1161","1190",35.4803,112.4226,"35˚ 28.818' (Garmin)","112˚ 25.356'","Offering Hall is Jin Dading period (1161-1190) see: 中國 文物 地圖集 山西分冊, 中, 500 ","*",,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0
"000054",,"Daxiongbaodian","大雄寶殿","大雄宝殿","000197","Kaihuasi_Daxiongbaodian","开化寺大雄寶殿","开化寺大雄宝殿",5,269,75,," ","Mahāvīra Treasure Hall",,,,"Daxiongbaodian",,,,35.87018611,113.0370944,"35˚ 52' 12.67"" N (google earth-satellite confirm)","113˚ 02' 13.54"" E",,1997,,0,0,0,0,0,1,0,1," ",0,0,1,1,1,1,0
"000055",,"zhengdian","正殿","正殿","000198","Kaishansi_zhengdian","开善寺正殿","开善寺正殿",4,96,18,," ","main hall",,,,"Zhengdian ",,,,39.2470666,115.9872,"39˚ 14.824' N (Garmin)","115˚ 59.232' E","Liao building with mojiaogong, again no fan brackets",2009,,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
"000056",,"zhonglou","鐘樓","钟楼","000199","Kaiyuansi_zhonglou","开元寺钟楼","开元寺钟楼",3,105,53,," ","bell tower",,,,"Zhonglou",898,"0898","0898",,,"38˚ 08.39' N (Magellan)","114˚ 33.94' E","Tang dynasty first floor (partial)--compare to Zhengding Wenmiao?",1999,"for date see: zgmscd 104"," ",,,,,,,,,,,,,,,
"000057",,"Shijiadian","釋迦殿","释迦殿","000200","Langbi_Shengtiansi_zhengdian","廊必圣天寺正殿","廊必圣天寺正殿",,,,,,"Śākyamuni Hall",,,,"Shengtiansi","960-1125","0960","1125",35.76526667,112.3737333,"35˚ 45.916' (Garmin)","112˚ 22.424'",,2010,,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1
"000058",,"shifang","石坊","石坊","000201","Liang_Cheng_guli_shifang","两程故里石坊","两程故里石坊",6,627,330,," ","stone gateway",,,," ",1462,,,,,,,"first built in 1131?; rebuilt in the Yuan; expanded in the Ming","n/a",,,,,,,,,,,,,,,,,
"000059",,"Liang Cheng ci Daoxuetang","兩程祠道學堂","两程祠道学堂","000202","Liang_Cheng_guli_Liang_Cheng_ci_Daoxuetang","兩程祠道學堂","两程祠道学堂",6,627,330,," ","Liang Cheng Shrine Daoxue Hall",,,," ",1131,,,,,,,"first built in 1131?; rebuilt in the Yuan; expanded in the Ming","n/a",,,,,,,,,,,,,,,,,
"000060",,"guodian","過殿","过殿","000203","Lingchuan_Longyansi_guodian","陵川龍巖寺過殿","陵川龙岩寺过殿",5,229,35,," ","passage hall",,,,"Longyansi",1129,"1129","1129",,,,,,"*",,,,,,,,,,,,,,,,,
"000061",,"Pizhita","辟支塔","辟支塔","000204","Lingyansi_Pizhita","靈岩寺辟支塔","灵岩寺辟支塔",2,21,6,,"Shandong Tai'an Lingyan Monastery","Pratyeka Pagoda",,,,"Lingyan_Monastery_Pratyeka_Pagoda",1057,"1057","1057",36.3632666,116.977683,,,"Song dynasty; corner bracket sets on front facade","fall 2009","for date see: zgmscd 585",1,1,1,0,3,1,0,1," ",0,0,0,0,0,0,1
"000062",,"Lingzewangdian","靈澤王殿 ","灵泽王殿","000205","Lingzewangmiao_Lingzewangdian"," ","灵泽王庙 ",6,373,76,," ","Lingzewang Hall","Taiping Longwangmiao","太平龍王廟"," ","zhengdian",1210,,,,,"could not find",,"Also called: 太平龍王廟 Main Hall from 1210; see: 中國 文物 地圖集 山西分冊, 中,278","*",,,,,,,,,,,,,,,,,
"000063",,"Tianwangdian","天王殿","天王殿","000206","Longmensi_Tianwandian","龍門寺天王殿","龙门寺天王殿",4,92,14,," ","Tianwang Hall",,,,"Tianwandian","1125-1234","1125","1234",36.3896666,113.622666,"36˚ 23.38' N (Magellan)","113˚ 37.36' E","Jin dynasty with fan brackets",1999,,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0
"000063",,"xipeidian","西配殿","西配殿","000207","Longmensi_Xipeidian","龍門寺西配殿","龙门寺西配殿",4,92,14,," ","west side hall",,,,"Xipeidian",925,"0925","0925",36.387495,113.6201617,"36˚ 23' 24.97"" N (google earth-satellite)","113˚ 37' 20.97"" E ","925: earliest subsidiary building",,,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1
"000063",,"Daxiongbaodian","大雄寶殿","大雄宝殿","000208","Longmensi_Daxiongbaodian","龍門寺大雄宝殿","龙门寺大雄宝殿",4,92,14,," ","Mahāvīra Treasure Hall",,,,"Daxiongbaodian",1098,"1098","1098",36.38750833,113.620255,"36˚ 23' 25.05"" N (google earth-satellite)","113˚ 37'21.53 ""E","Song dynasty--eleventh century typical of Shangdang",,,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0
"000064",,"Tianwangdian","天王殿","天王殿","000209","Longxingsi_Tianwangdian","隆兴寺天王殿","隆兴寺天王殿",1,89,42,," ","Celestial Kings Hall",,,,"Tianwangdian",982,"0982","0982",38.14109167,114.5763528,"38˚ 08' 27.97' N (google earth 9/2009)","114˚ 34' 34.88"" E","late 10th century (982?); modified in 1780. Early mojiao gong similar to Dulesi","1999?","zgmscd 105-106",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"000064",,"Monidian","摩尼殿","摩尼殿","000210","Longxingsi_Monidian","隆兴寺摩尼殿","隆兴寺摩尼殿",1,89,42,," ","Cintāmaṇi Hall",,,,"Monidian",1052,"1052","1052",38.14256944,114.5762444,"38˚ 08' 33.25"" N (google earth 9/2009)","114˚ 34' 34.48"" E","1052 with angled bracket arms; qinmian ang appears to be recarved",,,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
"000064",,"zhuanluncangge","轉論藏閣","转论藏阁","000211","Longxingsi_Zhuanluncangge","隆兴寺轉論藏閣","隆兴寺轉論藏閣",1,89,42,," ","Revolving Sutra Pavilion",,,,"Zhuanluncangge","1050-1100","1050","1100",38.14345556,114.5761833,"38˚ 08' 36.44"" N (google earth 9/2009)","114˚ 34' 34.26"" E","upper eaves bracket sets;",,"2nd half of 11th century; see Qi Yingtao",0,0,0,1,2,1,0,1,1,0,0,1,1,1,0,1
"000064",,"Cishige","慈氏閣","慈氏阁","000212","Longxingsi_Cishige","隆兴寺慈氏閣","隆兴寺慈氏閣",1,89,42,," ","Maitreya Pavilion",,,,"Cishige","1050-1100","1050","1100",38.14363611,114.5765111,"38˚ 08' 37.09"" N (google earth 9/2009)","144˚ 34' 35.47"" E","upper eaves bracket sets",,"2nd half of 11th century; see Qi Yingtao",0,0,0,1,2,1,0,1," ",0,0,1,2,0,0,1
"000065",,"Zushidian","祖師殿","祖师殿","000213","Meian_Zushidian","梅庵祖師殿","梅庵",4,109,31,," ","Ancestor Hall",,,,"Meian",996,"0996","0996",,,,,"Zushidian thought to retain Song style (ZGMSCD, 842)","*",,,,,,,,,,,,,,,,,
"000066",,"dadian","大殿","大殿","000214","Nanchansi_dadian","南禪寺大殿","南禅寺大殿",1,79,32,,"Nanchan Monastery","great hall",,,,"Dadian",782,"0782","0782",38.7013333,113.114,"38˚ 42.08' N (Magellan)","113˚ 06.84 E","early timber architecture",1999,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"000067",,"zhongdian","中殿","中殿","000215","Nanjixiangsi_zhongdian","南吉祥寺中殿","南吉祥寺中殿",,,,," ","middle hall",,,,"Zhongdian",1030,"1030","1030",35.77675,113.12075,"35˚ 46' 33.36' N  (google earth-fuzzy satellite)","113˚ 7' 15.40"" E",,1998,,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0
"000068",,"zhengdian","正殿","正殿","000216","Nanshentou_Erxianmiao_zhengdian","南神头二仙庙","南神头二仙庙",6,390,93,," ","main hall",,,,"Erxianmiao","960-1125","0960","1125",35.69555,113.35965,"35˚ 41.733'","113˚ 21.579'","Main Hall from Jin; see: http://www.huaxia.com/zhsx/sxsy/wwzy/12/1256259.html",2010,,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0
"000069",,"Tianwangdian","天王殿","天王殿","000217","Nantong_Tianningsi_Tianwangdian","南通天宁寺天王殿","南通天宁寺",6,510,"Ⅲ－213",," ","Celestial Kings Hall",,,,"Tianningsi",,,,,,,,"Song-Yuan style; see: ZGMSCD 320","n/a?",,,,,,,,,,,,,,,,,
"000069",,"Daxiongbaodian","大雄寶殿","大雄宝殿","000218","Nantong_Tianningsi_Daxiongbaodian","南通天宁寺","南通天宁寺",6,510,"Ⅲ－213",," ","Mahāvīra Treasure Hall",,,,"Tianningsi",,,,,,,,"Song-Yuan style; see: ZGMSCD 320","n/a?",,,,,,,,,,,,,,,,,
"000070",,"Dachengdian","大成殿","大成殿","000219","Pingyao_Wenmiao_Dachengdian","平遙文廟大成殿","平遥文庙大成殿",5,240,46,,,"Dacheng Hall",,,,"Dachengdian",1163,"1163","1163",37.195,112.19,"37˚ 11.7' N (Magellan)","112˚ 11.4' E","first step is made jixin with a cloud-shaped bracket arm","1997, 2004",,0,0,0,0,0,1,0,1,,0,1,0,2,0,0,1
"000071",,"zhengdian","正殿","正殿","000220","Puguangsi_zhengdian","普光寺正殿","普光寺正殿 ",6,358,"Ⅲ－61",,,"main hall",,,,"Puguangsi","960-1125","0960","1125",,,,,"main hall from Song, hip-gable converted to gable; https://zh.wikipedia.org/wiki/%E6%99%AE%E5%85%89%E5%AF%BA_(%E5%AF%BF%E9%98%B3)","*",,,,,,,,,,,,,,,,,
"000072",,"Sanqingdian","三清殿","三清殿","000221","Putian_Yuanmiaoguan_Sanqingdian","莆田元妙观三清殿","莆田元妙观三清殿",4,103,25,,,"Hall of the Three Pure Ones",,,,"Yuanmiaoguan Sanqingdian",1015,"1015","1015",25.4333333,119.018666,"25˚ 26' N (Magellan, no satellite confirm)","119˚ 01.12 E",,2004,,0,0,0,1,1,0,1,0," ",0," ",0,3,1,0,1
"000073",,"dadian","大殿","大殿","000222","Puzhaosi_dadian","普照寺大殿","普照寺大殿",6,394,97,," ","great hall",,,,"dadian","1115-1234","1115","1234",36.7457833,112.653316,"36˚ 44.747 N (Garmin)36˚ 44.747 N (Garmin)","112˚ 39.199 E",,2009,,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1
"000074",,"zhengdian","正殿","正殿","000223","Qingliansi_zhengdian","青莲寺正殿","青莲寺正殿",3,110,58,," ","main hall",,,,"zhengdian",1089,"1089","1089",35.45525666,112.98687,"35˚ 27' 31.54"" N (google earth-satellite)","112˚ 59' 21.22"" E","a regional style in the 11th century",1997,,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1
"000074",,"cangjingge","藏經閣","藏经阁","000224","Qingliansi_cangjingge","青莲寺藏经阁","青莲寺藏经阁",3,110,58,," ","sutra pavilion",,,,"cangjingge","1089-1911?","1089","1911",35.45511,112.9869033,"35˚ 27' 30.66"" N (google earth-satellite)","112˚ 59' 21.42"" E ","lower story first step jixin--part of later modification?",,,0,0,0,0,1,1,1,1," ",0,0," ",1,0,,
"000075",,"Fujundian","府君殿","府君殿","000225","Qinshui_Cuifujunmiao_Fujundian","沁水崔府君庙府君殿","沁水崔府君庙府君殿",,,,,,"Fujundian",,,,"Cuifujunmiao Fujundian","1125-1234","1125","1234",35.63165,112.5239667,"35˚ 37.899' (Garmin)","112˚ 31.438",,2010,,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"000076",,"Shanmen","沁水龍岩寺山門","沁水龙岩寺山門","000226","Qinshui_Longyansi_Longyansi_Shanmen","沁水龙岩寺上門","沁水龙岩寺上門",,,,,,"Mountain Gate",,,,"Longyansi Shanmen","1125-1234","1125","1234",35.60273333,111.97115,"35˚ 36.164' (Garmin)","111˚ 97.115'",,,,0,0,0,0,1,1,1,0,1,0,1,0,2,0,0,1
"000077",,"dadian","大殿","大殿","000227","Qinshui_Shundimiao_dadian","沁水舜帝庙大殿","沁水舜帝庙大殿",,,,,,"main hall",,,,"Shundimiao Dadian","1125-1234","1125","1234",35.60493333,111.97245,"35˚ 36.296' (Garmin)","111˚ 58.347",,,,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1
"000078",,"zhengdian","正殿","正殿","000228","Qinxian_Dayunyuan_zhengdian","沁縣大雲院","沁县大云院",5,244,50,," ","main hall",,,,"Dayunyuan","1115-1234","1115","1234",36.7477,112.5745,"36˚ 44.862' N (Garmin)","112˚ 34.478' E",,2009,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
"000079",,"zhengdian","正殿","正殿","000229","Qixian_Xingfansi_zhengdian","祁县兴梵寺","祁县兴梵寺",,,,,,"main hall",,,,"Xingfansi","960-1125","0960","1125",37.39033333,112.4500667,"37˚ 23.420' (Garmin)","112˚ 27.004'",,,,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1
"000080",," "," "," ",," "," "," "," "," "," ",," "," ",,,," ",1195,"1195","1195",35.5955833,116.98405,,,,"*",,0,0,0,1,2,1,0,1,1,0,1,0,1,0,0,1
"000081",,"xibeiting","西碑亭","西碑亭","000230","Qufu_Kongmiao_xibeiting","曲阜孔廟西碑亭","曲阜孔庙西碑亭",1,99,52,,"Qufu Temple of Confucius","west stele pavilion",,,,"Qufu_Kongmiao_Xibeiting",1195,"1195","1195",35.5955833,116.98405,,,,"*",,0,0,0,1,2,1,0,1,1,0,1,0,1,0,0,1
"000082",,"dadian","大殿","大殿","000231","Ruicheng_Chenghuangmiao_dadian","芮城城隍庙","芮城城隍庙",5,249,55,," ","main hall",,,,"Chenghuangmiao",,,,,,,,"大殿面宽五间，进深三间，单檐歇山顶。前檐柱头斗栱五铺作，双下昂，昂为劈竹式，蚂蚱形耍头","*",,,,,,,,,,,,,,,,,
"000083",,"Tianzidian","天齊殿","天齐殿","000232","Runcheng_Dongyuemiao_Tianqidian","润城东岳庙天齊殿"," ",6,375,78,," ","Tianji Hall","Tuncheng Dongyuemiao","屯城東岳廟",,"Dongyuemiao","1199-1208","1199","1208",35.55121667,112.5350833,"35˚ 33.084' (Garmin)","112˚ 32.111'","天齊殿from Jin 1199-1208, see: 中國 文物 地圖集 山西分冊, 中, 500/天齊殿from Jin 1199-1208, see: 中國 文物 地圖集 山西分冊, 中, 500/天齊殿from Jin 1199-1208, see: 中國 文物 地圖集 山西分冊, 中, 500/天齊殿from Jin 1199-1208, see: 中國 文物 地圖集 山西分冊, 中, 500/","*",,0,0,0,0,0,1,0,1,1,0,1,0,3,1,1,0
"000084",,"zhengdian","正殿","正殿","000233","Sanjunmiao_zhengdian","三峻庙"," ",5,261,67,,,"main hall",,,,"Sanjunmiao",1175,"1175","1175",36.03716667,113.6121667,"36˚ 2.23'N (Garmin)","113˚ 9.73'E","Main Hall from 1175, see; 中國 文物 地圖集 山西分冊, 中, 336","*",,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1
"000085",,"Tianwangdian","天王殿","天王殿","000234","Shanhuasi_Tianwangdian","善化寺 ","善化寺 ",1,88,41,,,"Celestial Kings Hall",,,,"Tianwangdian","1128-1143","1128","1143",40.0854,113.293533,"40˚ 05.124' N (Garmin)","113˚ 17.612 E '","Shanmen--天會六－皇統三 (1128-1143)",2009,,0,0,0,1,2,1,0,1,,0,1,0,1,0,0,1
"000085",,"Sanshengdian","三聖殿","三聖殿","000235","Shanhuasi_Sanshengdian","善化寺 三聖殿","善化寺 三聖殿",1,88,41,,"Hall of Three Sages: Vairocana, Manjusri and Samantabhadra","Hall of the Three Sages",,,,"Sanshengdian","1128-1143","1128","1143",40.0857166,113.29345,"40˚ 05.143’ N","113˚ 17.607' E","天會六－皇統三 (1128-1143, linggong for angled bracket arm is angled",,,0,0,1,0,2,1,0,1,,0,1,0,2,0,1,1
"000085",,"Puxiange","普賢閣","普贤阁","000236","Shanhuasi_Puxiange","善化寺普賢閣","善化寺普賢閣",1,88,41,,,"Samantabhadra (Puxian) Pavilion",,,,"Puxiange",1154,"1154","1154",40.0859333,113.293333,"40˚ 05.156' N","113˚ 17.600' E","1154; column-top match ic on lower eaves",,,0,1,1,1,1,1,0,1,,0,0,0,0,0,0,1
"000085",,"Daxiongbaodian","大雄寶殿","大雄寶殿","000237","Shanhuasi_Daxiongbaodian","善化寺大雄寶殿","善化寺大雄寶殿",1,88,41,,,"Mahāvīra Treasure Hall",,,,"Daxiongbaodian","1000-1143","1000","1143",40.0862833,113.293166,"40˚ 05.177 N","113˚ 17.590' E","遼; renovated (重修) during 1128-1143 reconstruction， angled bracket arme on e and w; linggong on these bevelled backwards",,,0,0,1,0,1,1,0,1,,0,0,0,0,0,1,1
"000086",,"zhengdian","正殿","正殿","000238","Shaolinsi_Chuzuan_zhengdian","少林寺初祖庵","少林寺初祖庵",4,89,11,," ","main hall",,,,"Chuzuan",1125,"1125","1125",34.50950278,112.9291167,"34˚ 30'34.21"" (google earth 7/5/2010)","112˚ 55' 44.82""","1125-contrast with Fengxianguan in Jiyuan, Henan as representing YZFS","1998?",,0,0,0,1,2,0,0,1,1,0,1,0,1,0,0,1
"000087",,"zhengdian","正殿","正殿","000239","Shizhang_Yuhuangmiao_zhengdian","石掌玉皇庙","石掌玉皇庙",6,377,80,," ","main hall",,,,"Yuhuangmiao","1125-1234","1125","1234",35.7257,113.33805,"35˚ 43.542' (Garmin)","113˚ 20.288'","Main Hall Jin, see 中國 文物 地圖集 山西分冊, 中, 513-514","*",,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0
"000088",,"Sanjiaotang","三教堂","三教堂","000240","Sirun_Sanjiaotang","寺润三教堂","寺润三教堂",6,391,94,," ","main hall",,,,"Sanjiaotang","1125-1234","1125","1234",35.83021667,113.18035,"35˚ 49.813'","113˚ 10.821","Main Hall Jin, see: http://www.sxcr.gov.cn/wmsx/show.php?itemid=1007",2010,,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0
"000089",,"Sanqingdian","三清殿","三清殿","000241","Suzhou_Xuanmiaoguan_Sanqingdian","苏州玄妙观三清殿","苏州玄妙观三清殿",2,22,7,," ","Hall of the Three Pure Ones",,,,"Xuanmiaoguan Sanqingdian",1179,"1179","1179",31.31431667,120.6216666,"31˚ 18.895' N (Garmin)","120˚ 37.307' E","large-scale Song building",2009,"for date see: zgmscd 489",0,0,0,1,2," ",1,0," ",0,1,0,2,0,0,1
"000090",,"Tianzhudian","天祝殿","天祝殿","000242","Taian_Daimiao_Tianzhudian","泰安岱廟天祝殿","泰安岱庙天祝殿",3,125,73,,"Tai'an Temple to the Eastern Peak Shandong","Hall for Prayers to Heaven",,,," ",,,,,,,,"originally built in 1009, modified numerous times. Wall paintings in Song style=ZGMSCD, 626","*",,,,,,,,,,,,,,,,,
"000091",,"Taifuguan_zhongdadian","太符觀中大殿","太符观","000243","Taifuguan_zhongdadian","太符觀","太符观",5,243,49,," ","main hall",,,,"Taifuguan","1115-1234","1115","1234",37.3446111,111.9174667,"37˚ 20' 40.60"" N (google earth-satellite)","111˚ 55' 02.88"" E",,1998,,0,0,0,0,1,1,0,1," ",0,0,0,0,0,1,0
